step,grad_norm,loss,param_norm,lr
9200,0.0585,0.0029,1804.1755,2.0845628256461447e-05
9300,0.064,0.0029,1804.1793,2.0750639952851358e-05
9400,0.0661,0.0029,1804.1831,2.065483009310355e-05
9500,0.0646,0.0028,1804.1859,2.055820992092986e-05
9600,0.0703,0.0031,1804.189,2.0460790775135888e-05
9700,0.0733,0.0033,1804.1925,2.0362584088290323e-05
9800,0.0684,0.0032,1804.1959,2.0263601385383297e-05
9900,0.0632,0.003,1804.1997,2.0163854282473863e-05
10000,0.0689,0.0033,1804.2028,2.00633544853268e-05
10100,0.0685,0.003,1804.2059,1.9962113788038904e-05
10200,0.0678,0.0033,1804.2094,1.986014407165487e-05
10300,0.069,0.0033,1804.2134,1.9757457302773032e-05
10400,0.0606,0.0029,1804.2166,1.965406553214101e-05
10500,0.0655,0.0027,1804.22,1.9549980893241494e-05
10600,0.0623,0.0024,1804.2231,1.944521560086836e-05
10700,0.0653,0.0029,1804.226,1.9339781949693163e-05
10800,0.0597,0.0025,1804.229,1.9233692312822342e-05
10900,0.0626,0.0027,1804.2322,1.912695914034516e-05
11000,0.0595,0.0024,1804.2352,1.901959495787264e-05
11100,0.063,0.003,1804.2388,1.8911612365067622e-05
11200,0.0648,0.0027,1804.2408,1.880302403416614e-05
11300,0.053,0.0023,1804.2434,1.8693842708490286e-05
11400,0.0669,0.0029,1804.2466,1.858408120095271e-05
11500,0.0534,0.0024,1804.25,1.8473752392552975e-05
11600,0.0597,0.0025,1804.2529,1.836286923086593e-05
11700,0.0663,0.0029,1804.2552,1.8251444728522226e-05
11800,0.0613,0.0026,1804.2584,1.813949196168124e-05
11900,0.0595,0.0023,1804.2609,1.8027024068496537e-05
12000,0.0626,0.0026,1804.2637,1.7914054247574042e-05
12100,0.0612,0.0024,1804.2659,1.7800595756423112e-05
12200,0.0605,0.0024,1804.2684,1.7686661909900747e-05
12300,0.06,0.0027,1804.2709,1.7572266078648983e-05
12400,0.0626,0.0026,1804.274,1.7457421687525832e-05
12500,0.0563,0.0022,1804.2771,1.7342142214029775e-05
12600,0.0572,0.0022,1804.2793,1.722644118671816e-05
12700,0.0594,0.0024,1804.2815,1.7110332183619527e-05
12800,0.0657,0.0028,1804.2841,1.6993828830640196e-05
12900,0.0564,0.0021,1804.2859,1.6876944799965184e-05
13000,0.0681,0.0026,1804.2877,1.6759693808453736e-05
13100,0.0531,0.0022,1804.2903,1.664208961602956e-05
13200,0.0587,0.002,1804.2931,1.6524146024066075e-05
13300,0.0571,0.0022,1804.2953,1.640587687376673e-05
13400,0.0549,0.0023,1804.2981,1.6287296044540687e-05
13500,0.0568,0.0022,1804.2998,1.6168417452374025e-05
13600,0.0648,0.0026,1804.3015,1.6049255048196604e-05
13700,0.0566,0.0023,1804.3037,1.5929822816244907e-05
13800,0.0673,0.0025,1804.3062,1.581013477242088e-05
13900,0.0618,0.0024,1804.3083,1.5690204962647143e-05
14000,0.057,0.0021,1804.3103,1.55700474612186e-05
14100,0.0587,0.0023,1804.3125,1.5449676369150812e-05
14200,0.0526,0.002,1804.3147,1.5329105812525122e-05
14300,0.062,0.0021,1804.3167,1.5208349940830939e-05
14400,0.0612,0.0025,1804.319,1.50874229253052e-05
14500,0.0553,0.0019,1804.3209,1.4966338957269347e-05
14600,0.0563,0.002,1804.3228,1.4845112246463888e-05
14700,0.0584,0.0019,1804.3248,1.4723757019380822e-05
14800,0.0582,0.0021,1804.3265,1.4602287517594118e-05
14900,0.0592,0.0023,1804.3281,1.4480717996088372e-05
15000,0.0585,0.0022,1804.33,1.4359062721585949e-05
15100,0.0565,0.0018,1804.3315,1.4237335970872699e-05
15200,0.0599,0.0021,1804.3335,1.4115552029122532e-05
15300,0.0541,0.002,1804.335,1.399372518822097e-05
15400,0.0627,0.0022,1804.3362,1.387186974508795e-05
15500,0.0547,0.0019,1804.3374,1.3749999999999999e-05
15600,0.0612,0.0024,1804.3395,1.3628130254912053e-05
15700,0.056,0.0019,1804.3409,1.3506274811779033e-05
15800,0.0522,0.0018,1804.3428,1.338444797087747e-05
15900,0.0564,0.002,1804.3444,1.3262664029127304e-05
16000,0.0531,0.0019,1804.3456,1.3140937278414054e-05
16100,0.0463,0.0016,1804.347,1.301928200391163e-05
16200,0.0581,0.0022,1804.3488,1.2897712482405883e-05
16300,0.0546,0.0019,1804.35,1.2776242980619179e-05
16400,0.0593,0.0021,1804.3517,1.2654887753536115e-05
16500,0.054,0.0017,1804.3528,1.2533661042730656e-05
16600,0.0538,0.0018,1804.354,1.2412577074694802e-05
16700,0.0503,0.0018,1804.3549,1.2291650059169068e-05
16800,0.0495,0.0017,1804.3562,1.2170894187474877e-05
